NoCiv,NoCivSuf,Nomrue,OdoGener,OdoParti,OdoSpeci,join_key,code_postal
2078,,6e Avenue,Avenue,,6e,2078 6E AV,
915,,Rue des Saules,Rue,des,Saules,915 RUE DES SAULES,
1378,,Avenue Louise,Avenue,,Louise,1378 AV LOUISE,
454,,Chemin des Anglais,Chemin,des,Anglais,454 CH DES ANGLAIS,
2820,,Rue Françoise-Giroud,Rue,,Françoise-Giroud,2820 RUE FRANCOISE-GIROUD,
1408,,Rue Pine,Rue,,Pine,1408 RUE PINE,
1472,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1472 AV DE CHATEAUBRIANT,
2449,,Croissant d'Auteuil,Croissant,d',Auteuil,2449 CROISSANT D'AUTEUIL,
949,,Rue Sauvé,Rue,,Sauvé,949 RUE SAUVE,
2994,,Avenue de la Gare,Avenue,de la,Gare,2994 AV DE LA GARE,
1013,,Rue Lapointe,Rue,,Lapointe,1013 RUE LAPOINTE,
2830,,Place Félix-Leclerc,Place,,Félix-Leclerc,2830 PLACE FELIX-LECLERC,
115,,Croissant de Galles,Croissant,de,Galles,115 CROISSANT DE GALLES,
951,,Rue des Glaïeuls,Rue,des,Glaïeuls,951 RUE DES GLAIEULS,
399,,Place des Pluviers,Place,des,Pluviers,399 PLACE DES PLUVIERS,
1443,,Rue de Côte-d'Ivoire,Rue,de,Côte-d'Ivoire,1443 RUE DE COTE-D'IVOIRE,
2933,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,2933 CH STE-MARIE,
236,,Rue de Boissy,Rue,de,Boissy,236 RUE DE BOISSY,
2826,,Rue de Sancerre,Rue,de,Sancerre,2826 RUE DE SANCERRE,
1299,,Rue du Havre,Rue,du,Havre,1299 RUE DU HAVRE,
1424,,Rue Joy,Rue,,Joy,1424 RUE JOY,
1688,,Rue Pine Brook,Rue,,Pine Brook,1688 RUE PINE BROOK,
2853,,Avenue Marie-Victorin,Avenue,,Marie-Victorin,2853 AV MARIE-VICTORIN,
560,,Rue de Pompadour,Rue,de,Pompadour,560 RUE DE POMPADOUR,
1920,,Rue Comtois,Rue,,Comtois,1920 RUE COMTOIS,
2075,,Avenue du Suroît,Avenue,du,Suroît,2075 AV DU SUROIT,
1566,,Rue Pine,Rue,,Pine,1566 RUE PINE,
405,,Rue Parent,Rue,,Parent,405 RUE PARENT,
2121,,Rue Comtois,Rue,,Comtois,2121 RUE COMTOIS,
2109,,Rue de Fontainebleau,Rue,de,Fontainebleau,2109 RUE DE FONTAINEBLEAU,
2687,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus,2687 CROISSANT DES GEAIS-BLEUS,
484,,Rue Deslongchamps,Rue,,Deslongchamps,484 RUE DESLONGCHAMPS,
2789,,Rue Dumont,Rue,,Dumont,2789 RUE DUMONT,
1545,,Rue de Côte-d'Ivoire,Rue,de,Côte-d'Ivoire,1545 RUE DE COTE-D'IVOIRE,
398,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel,398 RUE DE ST-GABRIEL,
1327,,Avenue du Mistral,Avenue,du,Mistral,1327 AV DU MISTRAL,
2556,,Rue de Saint-Étienne,Rue,de,Saint-Étienne,2556 RUE DE ST-ETIENNE,
315,,Avenue de l'Étang,Avenue,de l',Étang,315 AV DE L'ETANG,
357,,Croissant de Castelnaud,Croissant,de,Castelnaud,357 CROISSANT DE CASTELNAUD,
2492,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,2492 CH STE-MARIE,
2590,,Rue Landry,Rue,,Landry,2590 RUE LANDRY,
440,,Montée Masson,Montée,,Masson,440 MTEE MASSON,
2886,,Rue Desportes,Rue,,Desportes,2886 RUE DESPORTES,
640,,Rue de Montmartre,Rue,de,Montmartre,640 RUE DE MONTMARTRE,
