NoCiv,NoCivSuf,nomrue,OdoGener,OdoParti,OdoSpeci
1311,,Chemin Pincourt,Chemin,,Pincourt
2800,,Avenue Therrien,Avenue,,Therrien
1290,,Avenue Lafleur,Avenue,,Lafleur
2128,,Chemin Saint-Henri,Chemin,,Saint-Henri
2582,,Rue Lafontaine,Rue,,Lafontaine
490,,Rue Pronovost,Rue,,Pronovost
1442,,Place de l'Aquilon,Place,de l',Aquilon
3414,,Avenue de Charlevoix,Avenue,de,Charlevoix
3117,,Chemin Saint-Pierre,Chemin,,Saint-Pierre
456,,Rue Terry-Fox,Rue,,Terry-Fox
500,,Rue Caron,Rue,,Caron
463,,Rue Caron,Rue,,Caron
968,,Avenue de Charny,Avenue,de,Charny
463,,Rue du Dorset,Rue,du,Dorset
3404,,Rue de Viau,Rue,de,Viau
3115,,Rue Lévesque,Rue,,Lévesque
712,,Rue Turenne,Rue,,Turenne
2587,,Rue Landry,Rue,,Landry
1449,,Chemin de la Cabane-Ronde,Chemin,de la,Cabane-Ronde
1616,,Avenue Saint-Jean,Avenue,,Saint-Jean
1447,,Rue Center,Rue,,Center
143,,Montée Masson,Montée,,Masson
975,,Rue des Glaïeuls,Rue,des,Glaïeuls
1121,,Place Mauriac,Place,,Mauriac
3549,,Rue de Jean-Talon,Rue,de,Jean-Talon
1854,,Croissant Gosselin,Croissant,,Gosselin
2211,,Rue Barott,Rue,,Barott
2693,,Rue du Verger,Rue,du,Verger
2925,,Avenue de la Gare,Avenue,de la,Gare
2400,,Rue Allard,Rue,,Allard
2053,,Rue Bergeron,Rue,,Bergeron
280,,Place de Rochefort,Place,de,Rochefort
1001,,Rue de l'Amour,Rue,de l',Amour
1531,,Rue Lauzon,Rue,,Lauzon
1500,,Rue Pine,Rue,,Pine
2198,,Boulevard de Mascouche,Boulevard,de,Mascouche
549,,Rue des Martins-Pêcheurs,Rue,des,Martins-Pêcheurs
109,,Croissant de Galles,Croissant,de,Galles
2238,,Boulevard de Mascouche,Boulevard,de,Mascouche
900,,Rue des Fontaines,Rue,des,Fontaines
2690,,Avenue de la Gare,Avenue,de la,Gare
1380,,Rue d'Albanie,Rue,d',Albanie
2770,,Rue Principale,Rue,,Principale
289,,Rue de Margaux,Rue,de,Margaux
810,,Rue des Jonquilles,Rue,des,Jonquilles
705,,Avenue de l'Étang,Avenue,de l',Étang
2058,,Rue Laprade,Rue,,Laprade
2775,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus
941,,Rue des Fontaines,Rue,des,Fontaines
1838,A,Avenue Saint-Jean,Avenue,,Saint-Jean
3357,,Avenue de Charlevoix,Avenue,de,Charlevoix
2761,,Croissant des Roitelets,Croissant,des,Roitelets
330,,Place Larose,Place,,Larose
2376,,Rue de Montbéliard,Rue,de,Montbéliard
